id,genre,distance,dept,population,naissance,groupe,sp_2019,sp_2020,sp_2021,pc_2019,pc_2020,pc_2021,ih_2019,ih_2020,ih_2021,ic_2019,ic_2020,ic_2021,ap_2019,ap_2020,ap_2021,qe_2019,qe_2020,qe_2021,tor_2020,tor_2021,R0_2021,incid_2021,diffact_sansap_c2,diffact_sansap_c1,diffact_ap_c2,diffact_ap_c1
264,H,653,64,688589,1961,SOC,14,18,5,14,24,5,45,193,259,33,4,0,29,17,24,13,6,10,0.22658568594992,0.45587874517173,0.912941176470588,69.9938771501979,0.447814407814408,-0.301050662061025,0.344443040994765,-0.182248100737129
265,F,696,83,1084890,1948,LR,12,2,2,12,0,0,26,0,0,7,0,0,34,0,1,1,2,1,0.386057486809591,0.872598761103319,0.83,178.825641685235,-0.766666666666667,-0.25,-0.800653594771242,-0.25
266,H,341,39,257926,1961,LR,15,5,7,37,3,0,249,11,175,258,2,0,159,0,174,10,17,13,0.625025795590312,0.696937113066145,0.895294117647059,155.631442296483,-0.506104417670683,2.61475935828877,-0.406030410951984,2.61475935828877
267,F,436,74,838480,1969,LREM,15,3,4,26,4,0,29,1,7,23,0,0,41,1,42,5,0,0,0.509411006597803,0.78410035201108,0.885294117647059,158.525756618761,-0.898390804597701,1.77777777777778,-0.744593963181011,11.5833333333333
268,H,579,30,750683,1960,MODEM,13,3,4,19,4,0,10,3,2,17,0,0,28,28,15,4,17,4,0.265829104201909,0.545100607957897,0.893529411764706,177.20117862715,-0.698461538461538,-0.441176470588235,-0.659432234432234,-0.445798319327731
269,F,595,34,1196633,1967,LREM,12,0,7,17,0,0,6,0,1,17,0,0,48,6,23,4,8,3,0.265829104201909,0.545100607957897,0.893529411764706,151.932047194061,-0.7,-0.625,-0.670138888888889,1.10416666666667
270,F,253,50,491365,1982,LREM,8,6,2,9,6,0,7,1,1,6,1,0,15,1,33,5,10,32,0.298311731950845,0.675793010752688,0.895294117647059,129.978601844085,0.358571428571429,-0.0933333333333333,0.498809523809524,5.25555555555556
272,H,308,35,1094636,1969,LREM,12,5,2,16,6,0,2,0,8,3,3,0,0,509,17,1,0,2,0.268914158654302,0.497061263772733,0.920588235294118,153.82239352015,0.233333333333333,-0.866666666666667,0.233333333333333,-0.891650294695481
274,H,379,22,599118,1966,LREM,13,5,3,31,10,0,27,2,3,33,28,0,45,18,32,0,0,1,0.268914158654302,0.497061263772733,0.920588235294118,108.878378066379,-0.914529914529915,-0.475,-0.789401709401709,-0.224444444444444
276,F,204,59,2598299,1977,LREM,11,6,2,13,3,0,2,11,2,5,0,0,4,4,5,1,1,3,0.584143642727381,1.14755609564492,0.855882352941176,235.345193702304,-0.163636363636364,-0.121212121212121,-0.0946969696969697,-0.046969696969697
277,F,112,76,1250846,1968,AE,15,9,5,47,6,1,73,53,19,75,1,0,186,44,27,11,6,10,0.298311731950845,0.675793010752688,0.895294117647059,203.018331665752,-0.695205037845667,-0.450524109014675,-0.721810649817626,-0.439830696906169
278,F,205,37,609408,1971,LREM,15,4,5,19,3,0,0,3,4,58,0,0,23,11,39,5,0,5,0.446746885133982,0.788410991636798,0.891176470588235,169.76211344163,-0.666666666666667,-0.138888888888889,-0.394202898550725,0.53219696969697
279,H,402,19,239071,1979,MODEM,15,4,4,37,6,0,7,1,3,49,6,0,17,10,29,3,7,10,0.22658568594992,0.45587874517173,0.912941176470588,123.014054833038,-0.194285714285714,0.0857142857142857,-0.0442577030812324,0.388095238095238
280,H,263,21,532026,1956,LREM,14,7,5,18,8,0,28,4,1,18,0,0,39,15,75,8,7,9,0.625025795590312,0.696937113066145,0.895294117647059,143.778682605329,-0.696428571428571,-0.4375,-0.426510989010989,0.45
282,H,393,16,348997,1957,SOC,11,7,2,11,2,0,4,39,0,2,0,0,0,44,0,7,15,6,0.22658568594992,0.45587874517173,0.912941176470588,98.4277908992305,-0.792207792207792,-0.828571428571429,-0.792207792207792,-0.862857142857143
283,F,42,77,1432475,1967,MODEM,15,5,5,24,4,0,61,4,9,42,1,0,73,4,46,2,11,7,1.02830887227349,1.0399977500914,0.871176470588235,293.207159494076,-0.203825136612022,-0.222727272727273,-0.231498116126457,1.56439393939394
284,H,392,69,1892753,1969,LREM,16,4,5,36,2,0,245,3,24,250,1,0,148,2,57,0,4,0,0.509411006597803,0.78410035201108,0.885294117647059,233.036434134316,-0.897385204081633,0.85,-0.840881136238279,5.29166666666667
286,H,379,22,599118,1990,LREM,12,9,5,16,5,0,0,6,0,5,0,0,0,1,1,3,0,2,0.268914158654302,0.497061263772733,0.920588235294118,108.878378066379,-0.729166666666667,-0.814814814814815,-0.729166666666667,-0.611111111111111
287,H,343,44,1458768,1954,LREM,15,3,7,40,2,0,6,2,1,28,0,0,29,2,8,8,2,5,0.3447392876238,0.55864522069744,0.896470588235294,132.583863939616,-0.748333333333333,0.333333333333333,-0.744300766283525,0.866666666666667
288,H,90,27,595037,1978,LREM,15,2,7,20,3,0,5,0,0,10,0,0,0,2,0,3,14,12,0.298311731950845,0.675793010752688,0.895294117647059,197.509146145311,-0.106666666666667,0.452380952380952,-0.106666666666667,0.0892857142857143
289,H,588,31,1424915,1957,LREM,11,7,6,20,7,0,2,0,3,9,6,0,4,9,4,0,17,2,0.265829104201909,0.545100607957897,0.893529411764706,131.450025287733,-0.488636363636364,-0.756302521008403,-0.390909090909091,-0.716153127917834
291,F,436,74,838480,1979,LR,15,7,4,29,10,1,66,16,5,6,29,0,30,40,31,9,36,13,0.509411006597803,0.78410035201108,0.885294117647059,158.525756618761,-0.635729710902125,-0.730992063492063,-0.524219203529548,-0.646660052910053
293,H,595,34,1196633,1958,LREM,12,0,2,15,0,0,0,0,0,4,0,0,50,4,0,3,22,0,0.265829104201909,0.545100607957897,0.893529411764706,151.932047194061,-0.958333333333333,-1,-0.966666666666667,-1
294,H,121,2,525503,1948,LREM,12,5,5,11,3,0,1,4,2,6,0,0,0,0,0,4,6,6,0.584143642727381,1.14755609564492,0.855882352941176,213.075250060104,-0.216666666666667,-0.375,-0.216666666666667,-0.375
295,F,199,8,265099,1959,LR,14,7,2,21,10,0,24,2,6,23,7,0,19,4,8,9,16,9,0.926480683150818,0.716473002659267,0.885882352941176,173.415001726839,-0.721428571428571,-0.230357142857143,-0.697681704260652,-0.0252976190476191
296,F,18,78,1452910,1970,LREM,16,16,8,47,32,6,15,48,8,204,76,0,1,20,21,1,1,2,1.02830887227349,1.0399977500914,0.871176470588235,243.55347109074,-0.367801418439716,-0.429166666666667,3.02683215130024,-0.349305555555556
297,H,400,56,763103,1962,MODEM,14,5,7,28,2,0,17,2,15,32,0,0,15,0,92,3,0,1,0.268914158654302,0.497061263772733,0.920588235294118,110.513178200184,-0.656862745098039,1.96666666666667,0.308169934640523,1.96666666666667
298,H,379,68,763801,1976,AE,14,11,6,15,15,5,57,16,13,27,5,0,34,1,0,6,0,0,0.926480683150818,0.716473002659267,0.885882352941176,128.090030358085,-0.802005012531328,-0.57717803030303,-0.83500417710944,-0.661742424242424
300,F,90,27,595037,1949,LREM,15,4,6,16,0,0,1,0,0,4,0,0,7,0,2,12,35,19,0.298311731950845,0.675793010752688,0.895294117647059,197.509146145311,-0.603333333333333,0.0214285714285714,-0.621825396825397,0.0214285714285714
301,H,482,38,1271078,1978,LREM,15,3,4,43,5,0,34,20,40,16,0,0,4,0,215,6,0,0,0.509411006597803,0.78410035201108,0.885294117647059,160.10960981775,-0.711372549019608,0.111111111111111,8.19885620915033,0.111111111111111
302,F,205,37,609408,1959,MODEM,15,15,7,28,20,5,7,0,3,59,3,0,1,9,0,2,2,2,0.446746885133982,0.788410991636798,0.891176470588235,169.76211344163,-0.585238095238095,-0.570833333333333,-0.654365079365079,-0.656666666666667
304,F,686,6,1089270,1972,LR,13,1,6,13,2,0,13,0,11,5,0,0,57,0,123,20,23,10,0.386057486809591,0.872598761103319,0.83,170.144174312737,-0.638461538461538,1.14492753623188,-0.339068825910931,1.14492753623188
305,H,111,45,683998,1953,LR,12,2,5,15,1,2,4,0,1,14,0,0,0,0,4,7,0,0,0.446746885133982,0.788410991636798,0.891176470588235,166.73945420544,-0.84,1.25,-0.84,1.25
306,H,397,67,1147474,1972,LREM,16,4,6,45,2,0,81,3,15,98,0,0,96,2,79,1,0,2,0.926480683150818,0.716473002659267,0.885882352941176,163.153004788172,-0.487962962962963,1.16666666666667,-0.436149691358025,10.5
307,H,162,62,1455018,1950,LREM,15,5,4,39,12,0,1,0,1,3,0,0,0,0,27,2,0,1,0.584143642727381,1.14755609564492,0.855882352941176,238.569303289365,-0.646666666666667,-0.6,-0.646666666666667,-0.6
309,F,392,69,1892753,1980,LREM,10,4,3,13,2,0,2,3,11,5,0,0,0,0,26,2,9,5,0.509411006597803,0.78410035201108,0.885294117647059,233.036434134316,0.66,0.243055555555556,0.66,0.243055555555556
311,H,437,15,143280,1955,LR,14,2,4,27,2,0,32,0,10,18,0,0,91,9,21,7,0,1,0.509411006597803,0.78410035201108,0.885294117647059,94.4893435873905,-0.851785714285714,0,-0.838026556776557,0.444444444444444
312,H,397,67,1147474,1949,LR,13,5,6,21,1,0,66,25,35,37,3,0,58,31,469,5,14,11,0.926480683150818,0.716473002659267,0.885882352941176,163.153004788172,-0.361631701631702,-0.322857142857143,0.879674731398869,2.0857910906298
313,H,399,17,652474,1968,LREM,16,1,3,23,7,0,29,0,0,37,26,0,54,24,129,7,4,5,0.22658568594992,0.45587874517173,0.912941176470588,81.6246013766822,-0.819642857142857,0.0625,-0.451554232804233,0.925
314,H,162,62,1455018,1976,NI,13,2,3,11,1,0,10,4,0,0,0,0,0,2,28,19,28,11,0.584143642727381,1.14755609564492,0.855882352941176,238.569303289365,-0.797570850202429,-0.526785714285714,-0.797570850202429,2.17857142857143
